Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00023414;0.14539657;0.14564786;1.00000000;100.0000
Approximate;2;1024;0.00024086;0.07339686;0.07365343;1.00000000;100.0000
Approximate;4;1024;0.00027471;0.04047143;0.04076200;1.00000000;100.0000
Approximate;8;1024;0.00024486;0.01936257;0.01962529;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00425843;0.26528571;0.54902262;54.9023
OMP+CUDA;2;1024;0.00000000;0.00427400;0.14442857;0.50996439;25.4982
OMP+CUDA;4;1024;0.00000000;0.00427643;0.12071429;0.33767337;8.4418
OMP+CUDA;8;1024;0.00000000;0.00435214;0.11600000;0.16918350;2.1148
OMP+CUDA_L1;1;1024;0.00000000;0.00434886;0.25300000;0.57568323;57.5683
OMP+CUDA_L1;2;1024;0.00000000;0.00444071;0.14357143;0.51300896;25.6504
OMP+CUDA_L1;4;1024;0.00000000;0.00424957;0.11628571;0.35053317;8.7633
OMP+CUDA_L1;8;1024;0.00000000;0.00427200;0.11071429;0.17726065;2.2158
