Modality;OMP;MPI;String_generation_time;Communication_time;Edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1;0.00057100;0.00000000;4.06732857;4.06789986;1.00000000;100.0000
Approximate;1;2;0.00058729;0.00000000;2.02560529;2.02619257;1.00000000;100.0000
Approximate;1;4;0.00057443;0.00000000;1.01895300;1.01952771;1.00000000;100.0000
Approximate;2;1;0.00059986;0.00000000;2.04855329;2.04915343;1.00000000;100.0000
Approximate;2;2;0.00059529;0.00000000;1.03048771;1.03108314;1.00000000;100.0000
Approximate;2;4;0.00056829;0.00000000;0.51539157;0.51596071;1.00000000;100.0000
Approximate;4;1;0.00052300;0.00000000;1.02778086;1.02830386;1.00000000;100.0000
Approximate;4;2;0.00054257;0.00000000;0.51514100;0.51568414;1.00000000;100.0000
Approximate;4;4;0.00054857;0.00000000;0.25804871;0.25859729;1.00000000;100.0000
Approximate;8;1;0.00060100;0.00000000;0.51535129;0.51595257;1.00000000;100.0000
Approximate;8;2;0.00057343;0.00000000;0.25721929;0.25779329;1.00000000;100.0000
Approximate;8;4;0.00060271;0.00000000;0.12725029;0.12785343;1.00000000;100.0000
OMP+MPI;1;1;0.00056100;0.00001386;4.01293529;4.01349657;1.01355508;101.3555
OMP+MPI;1;2;0.00057714;0.01306914;1.14540957;1.14598700;1.76807640;88.4038
OMP+MPI;1;4;0.00065557;0.02635029;0.32452543;0.32518143;3.13525812;78.3815
OMP+MPI;2;1;0.00053800;0.00002314;1.11455686;1.11509514;1.83764896;91.8824
OMP+MPI;2;2;0.00056000;0.00564900;0.32235800;0.32291800;3.19301848;79.8255
OMP+MPI;2;4;0.00062514;0.00211071;0.10738543;0.10801086;4.77693380;59.7117
OMP+MPI;4;1;0.00051357;0.00001786;0.33590986;0.33642386;3.05657234;76.4143
OMP+MPI;4;2;0.00058871;0.00337171;0.12478871;0.12537757;4.11304938;51.4131
OMP+MPI;4;4;0.00060014;0.00888043;0.06241829;0.06301843;4.10351847;25.6470
OMP+MPI;8;1;0.00055471;0.00002914;0.13616286;0.13671800;3.77384522;47.1731
OMP+MPI;8;2;0.00054243;0.00589857;0.06563986;0.06618257;3.89518389;24.3449
OMP+MPI;8;4;0.00062314;0.00163471;0.02303629;0.02365971;5.40384499;16.8870
